attendance_id,employee_id,date,status
101,101,11-04-2023,Present
102,102,12-04-2023,Present
103,103,13-04-2023,Absent
104,104,14-04-2023,Present
105,105,15-04-2023,Present
106,106,16-04-2023,Present
107,107,17-04-2023,Absent
108,108,18-04-2023,Present
109,109,19-04-2023,Present
110,110,20-04-2023,Present
111,111,21-04-2023,Present
112,112,22-04-2023,Leave
113,113,23-04-2023,Present
114,114,24-04-2023,Present
115,115,25-04-2023,Present
116,116,26-04-2023,Present
117,117,27-04-2023,Present
118,118,28-04-2023,Leave
119,119,29-04-2023,Present
120,120,30-04-2023,Present
121,121,01-05-2023,Present
122,122,02-05-2023,Present
123,123,03-05-2023,Present
124,124,04-05-2023,Absent
125,125,05-05-2023,Leave
126,126,06-05-2023,Present
127,127,07-05-2023,Present
128,128,08-05-2023,Absent
129,129,09-05-2023,Present
130,130,10-05-2023,Absent
131,131,11-05-2023,Present
132,132,12-05-2023,Leave
133,133,13-05-2023,Present
134,134,14-05-2023,Present
135,135,15-05-2023,Leave
136,136,16-05-2023,Present
137,137,17-05-2023,Present
138,138,18-05-2023,Present
139,139,19-05-2023,Present
140,140,20-05-2023,Present
141,141,21-05-2023,Absent
142,142,22-05-2023,Present
143,143,23-05-2023,Present
144,144,24-05-2023,Present
145,145,25-05-2023,Present
146,146,26-05-2023,Present
147,147,27-05-2023,Present
148,148,28-05-2023,Present
149,149,29-05-2023,Present
150,150,30-05-2023,Absent
151,151,31-05-2023,Present
152,152,01-06-2023,Present
153,153,02-06-2023,Present
154,154,03-06-2023,Present
155,155,04-06-2023,Present
156,156,05-06-2023,Present
157,157,06-06-2023,Present
158,158,07-06-2023,Present
159,159,08-06-2023,Leave
160,160,09-06-2023,Present
161,161,10-06-2023,Leave
162,162,11-06-2023,Present
163,163,12-06-2023,Leave
164,164,13-06-2023,Absent
165,165,14-06-2023,Present
166,166,15-06-2023,Present
167,167,16-06-2023,Leave
168,168,17-06-2023,Present
169,169,18-06-2023,Present
170,170,19-06-2023,Present
171,171,20-06-2023,Present
172,172,21-06-2023,Present
173,173,22-06-2023,Present
174,174,23-06-2023,Absent
175,175,24-06-2023,Present
176,176,25-06-2023,Present
177,177,26-06-2023,Absent
178,178,27-06-2023,Present
179,179,28-06-2023,Present
180,180,29-06-2023,Present
181,181,30-06-2023,Present
182,182,01-07-2023,Present
183,183,02-07-2023,Present
184,184,03-07-2023,Absent
185,185,04-07-2023,Present
186,186,05-07-2023,Present
187,187,06-07-2023,Present
188,188,07-07-2023,Present
189,189,08-07-2023,Present
190,190,09-07-2023,Present
191,191,10-07-2023,Absent
192,192,11-07-2023,Present
193,193,12-07-2023,Absent
194,194,13-07-2023,Present
195,195,14-07-2023,Present
196,196,15-07-2023,Present
197,197,16-07-2023,Present
198,198,17-07-2023,Absent
199,199,18-07-2023,Leave
200,200,19-07-2023,Present
201,201,20-07-2023,Leave
202,202,21-07-2023,Present
203,203,22-07-2023,Present
204,204,23-07-2023,Present
205,205,24-07-2023,Present
206,206,25-07-2023,Leave
207,207,26-07-2023,Present
208,208,27-07-2023,Present
209,209,28-07-2023,Absent
210,210,29-07-2023,Present
211,211,30-07-2023,Absent
212,212,31-07-2023,Present
213,213,01-08-2023,Absent
214,214,02-08-2023,Leave
215,215,03-08-2023,Absent
216,216,04-08-2023,Present
217,217,05-08-2023,Present
218,218,06-08-2023,Leave
219,219,07-08-2023,Absent
220,220,08-08-2023,Present
221,221,09-08-2023,Present
222,222,10-08-2023,Present
223,223,11-08-2023,Present
224,224,12-08-2023,Leave
225,225,13-08-2023,Present
226,226,14-08-2023,Present
227,227,15-08-2023,Present
228,228,16-08-2023,Present
229,229,17-08-2023,Present
230,230,18-08-2023,Present
231,231,19-08-2023,Present
232,232,20-08-2023,Present
233,233,21-08-2023,Present
234,234,22-08-2023,Present
235,235,23-08-2023,Present
236,236,24-08-2023,Present
237,237,25-08-2023,Present
238,238,26-08-2023,Leave
239,239,27-08-2023,Leave
240,240,28-08-2023,Present
241,241,29-08-2023,Absent
242,242,30-08-2023,Present
243,243,31-08-2023,Absent
244,244,01-09-2023,Present
245,245,02-09-2023,Present
246,246,03-09-2023,Present
247,247,04-09-2023,Leave
248,248,05-09-2023,Present
249,249,06-09-2023,Present
250,250,07-09-2023,Present
251,251,08-09-2023,Present
252,252,09-09-2023,Leave
253,253,10-09-2023,Leave
254,254,11-09-2023,Leave
255,255,12-09-2023,Present
256,256,13-09-2023,Present
257,257,14-09-2023,Present
258,258,15-09-2023,Leave
259,259,16-09-2023,Present
260,260,17-09-2023,Present
261,261,18-09-2023,Present
262,262,19-09-2023,Present
263,263,20-09-2023,Leave
264,264,21-09-2023,Leave
265,265,22-09-2023,Present
266,266,23-09-2023,Present
267,267,24-09-2023,Present
268,268,25-09-2023,Absent
269,269,26-09-2023,Leave
270,270,27-09-2023,Absent
271,271,28-09-2023,Present
272,272,29-09-2023,Present
273,273,30-09-2023,Present
274,274,01-10-2023,Absent
275,275,02-10-2023,Present
276,276,03-10-2023,Leave
277,277,04-10-2023,Present
278,278,05-10-2023,Present
279,279,06-10-2023,Present
280,280,07-10-2023,Leave
281,281,08-10-2023,Absent
282,282,09-10-2023,Present
283,283,10-10-2023,Present
284,284,11-10-2023,Absent
285,285,12-10-2023,Leave
286,286,13-10-2023,Absent
287,287,14-10-2023,Absent
288,288,15-10-2023,Absent
289,289,16-10-2023,Present
290,290,17-10-2023,Present
291,291,18-10-2023,Absent
292,292,19-10-2023,Present
293,293,20-10-2023,Present
294,294,21-10-2023,Leave
295,295,22-10-2023,Absent
296,296,23-10-2023,Leave
297,297,24-10-2023,Leave
298,298,25-10-2023,Present
299,299,26-10-2023,Present
300,300,27-10-2023,Present
301,301,28-10-2023,Present
302,302,29-10-2023,Absent
303,303,30-10-2023,Present
304,304,31-10-2023,Present
305,305,01-11-2023,Present
306,306,02-11-2023,Present
307,307,03-11-2023,Absent
308,308,04-11-2023,Present
309,309,05-11-2023,Present
310,310,06-11-2023,Present
311,311,07-11-2023,Present
312,312,08-11-2023,Present
313,313,09-11-2023,Present
314,314,10-11-2023,Absent
315,315,11-11-2023,Present
316,316,12-11-2023,Absent
317,317,13-11-2023,Present
318,318,14-11-2023,Present
319,319,15-11-2023,Present
320,320,16-11-2023,Leave
321,321,17-11-2023,Leave
322,322,18-11-2023,Present
323,323,19-11-2023,Absent
324,324,20-11-2023,Present
325,325,21-11-2023,Present
326,326,22-11-2023,Absent
327,327,23-11-2023,Absent
328,328,24-11-2023,Present
329,329,25-11-2023,Present
330,330,26-11-2023,Present
331,331,27-11-2023,Present
332,332,28-11-2023,Present
333,333,29-11-2023,Present
334,334,30-11-2023,Present
335,335,01-12-2023,Present
336,336,02-12-2023,Present
337,337,03-12-2023,Leave
338,338,04-12-2023,Leave
339,339,05-12-2023,Present
340,340,06-12-2023,Present
341,341,07-12-2023,Present
342,342,08-12-2023,Present
343,343,09-12-2023,Present
344,344,10-12-2023,Present
345,345,11-12-2023,Present
346,346,12-12-2023,Present
347,347,13-12-2023,Leave
348,348,14-12-2023,Present
349,349,15-12-2023,Present
350,350,16-12-2023,Absent
351,351,17-12-2023,Present
352,352,18-12-2023,Present
353,353,19-12-2023,Present
354,354,20-12-2023,Present
355,355,21-12-2023,Present
356,356,22-12-2023,Leave
357,357,23-12-2023,Present
358,358,24-12-2023,Present
359,359,25-12-2023,Absent
360,360,26-12-2023,Absent
361,361,27-12-2023,Present
362,362,28-12-2023,Present
363,363,29-12-2023,Present
364,364,30-12-2023,Present
365,365,31-12-2023,Leave
366,366,01-01-2023,Present
367,367,02-01-2023,Present
368,368,03-01-2023,Present
369,369,04-01-2023,Present
370,370,05-01-2023,Present
371,371,06-01-2023,Absent
372,372,07-01-2023,Present
373,373,08-01-2023,Present
374,374,09-01-2023,Absent
375,375,10-01-2023,Present
376,376,11-01-2023,Present
377,377,12-01-2023,Present
378,378,13-01-2023,Present
379,379,14-01-2023,Present
380,380,15-01-2023,Absent
381,381,16-01-2023,Present
382,382,17-01-2023,Absent
383,383,18-01-2023,Present
384,384,19-01-2023,Present
385,385,20-01-2023,Present
386,386,21-01-2023,Present
387,387,22-01-2023,Present
388,388,23-01-2023,Present
389,389,24-01-2023,Present
390,390,25-01-2023,Present
391,391,26-01-2023,Present
392,392,27-01-2023,Absent
393,393,28-01-2023,Present
394,394,29-01-2023,Present
395,395,30-01-2023,Absent
396,396,31-01-2023,Absent
397,397,01-02-2023,Leave
398,398,02-02-2023,Leave
399,399,03-02-2023,Absent
400,400,04-02-2023,Leave
401,401,05-02-2023,Present
402,402,06-02-2023,Present
403,403,07-02-2023,Absent
404,404,08-02-2023,Leave
405,405,09-02-2023,Present
406,406,10-02-2023,Absent
407,407,11-02-2023,Absent
408,408,12-02-2023,Present
409,409,13-02-2023,Leave
410,410,14-02-2023,Present
411,411,15-02-2023,Present
412,412,16-02-2023,Present
413,413,17-02-2023,Present
414,414,18-02-2023,Present
415,415,19-02-2023,Leave
416,416,20-02-2023,Absent
417,417,21-02-2023,Present
418,418,22-02-2023,Absent
419,419,23-02-2023,Present
420,420,24-02-2023,Present
421,421,25-02-2023,Present
422,422,26-02-2023,Absent
423,423,27-02-2023,Present
424,424,28-02-2023,Present
425,425,01-03-2023,Present
426,426,02-03-2023,Absent
427,427,03-03-2023,Present
428,428,04-03-2023,Present
429,429,05-03-2023,Leave
430,430,06-03-2023,Absent
431,431,07-03-2023,Present
432,432,08-03-2023,Absent
433,433,09-03-2023,Absent
434,434,10-03-2023,Present
435,435,11-03-2023,Leave
436,436,12-03-2023,Present
437,437,13-03-2023,Present
438,438,14-03-2023,Present
439,439,15-03-2023,Leave
440,440,16-03-2023,Absent
441,441,17-03-2023,Leave
442,442,18-03-2023,Present
443,443,19-03-2023,Present
444,444,20-03-2023,Present
445,445,21-03-2023,Present
446,446,22-03-2023,Present
447,447,23-03-2023,Present
448,448,24-03-2023,Leave
449,449,25-03-2023,Present
450,450,26-03-2023,Absent
451,451,27-03-2023,Present
452,452,28-03-2023,Present
453,453,29-03-2023,Present
454,454,30-03-2023,Present
455,455,31-03-2023,Present
456,456,01-04-2023,Present
457,457,02-04-2023,Absent
458,458,03-04-2023,Present
459,459,04-04-2023,Present
460,460,05-04-2023,Present
461,461,06-04-2023,Present
462,462,07-04-2023,Present
463,463,08-04-2023,Present
464,464,09-04-2023,Present
465,465,10-04-2023,Leave
466,466,11-04-2023,Present
467,467,12-04-2023,Present
468,468,13-04-2023,Present
469,469,14-04-2023,Present
470,470,15-04-2023,Leave
471,471,16-04-2023,Present
472,472,17-04-2023,Present
473,473,18-04-2023,Leave
474,474,19-04-2023,Present
475,475,20-04-2023,Absent
476,476,21-04-2023,Leave
477,477,22-04-2023,Present
478,478,23-04-2023,Present
479,479,24-04-2023,Leave
480,480,25-04-2023,Present
481,481,26-04-2023,Present
482,482,27-04-2023,Present
483,483,28-04-2023,Present
484,484,29-04-2023,Leave
485,485,30-04-2023,Present
486,486,01-05-2023,Present
487,487,02-05-2023,Absent
488,488,03-05-2023,Present
489,489,04-05-2023,Absent
490,490,05-05-2023,Leave
491,491,06-05-2023,Present
492,492,07-05-2023,Present
493,493,08-05-2023,Absent
494,494,09-05-2023,Present
495,495,10-05-2023,Present
496,496,11-05-2023,Present
497,497,12-05-2023,Present
498,498,13-05-2023,Present
499,499,14-05-2023,Present
500,500,15-05-2023,Present
501,501,16-05-2023,Present
502,502,17-05-2023,Present
503,503,18-05-2023,Present
504,504,19-05-2023,Present
505,505,20-05-2023,Absent
506,506,21-05-2023,Present
507,507,22-05-2023,Absent
508,508,23-05-2023,Leave
509,509,24-05-2023,Present
510,510,25-05-2023,Leave
511,511,26-05-2023,Leave
512,512,27-05-2023,Present
513,513,28-05-2023,Present
514,514,29-05-2023,Present
515,515,30-05-2023,Present
516,516,31-05-2023,Present
517,517,01-06-2023,Absent
518,518,02-06-2023,Present
519,519,03-06-2023,Present
520,520,04-06-2023,Leave
521,521,05-06-2023,Present
522,522,06-06-2023,Absent
523,523,07-06-2023,Present
524,524,08-06-2023,Present
525,525,09-06-2023,Present
526,526,10-06-2023,Present
527,527,11-06-2023,Present
528,528,12-06-2023,Absent
529,529,13-06-2023,Leave
530,530,14-06-2023,Leave
531,531,15-06-2023,Present
532,532,16-06-2023,Present
533,533,17-06-2023,Absent
534,534,18-06-2023,Present
535,535,19-06-2023,Present
536,536,20-06-2023,Present
537,537,21-06-2023,Present
538,538,22-06-2023,Present
539,539,23-06-2023,Present
540,540,24-06-2023,Present
541,541,25-06-2023,Absent
542,542,26-06-2023,Present
543,543,27-06-2023,Present
544,544,28-06-2023,Present
545,545,29-06-2023,Absent
546,546,30-06-2023,Present
547,547,01-07-2023,Present
548,548,02-07-2023,Present
549,549,03-07-2023,Absent
550,550,04-07-2023,Present
551,551,05-07-2023,Present
552,552,06-07-2023,Present
553,553,07-07-2023,Present
554,554,08-07-2023,Present
555,555,09-07-2023,Absent
556,556,10-07-2023,Absent
557,557,11-07-2023,Absent
558,558,12-07-2023,Present
559,559,13-07-2023,Present
560,560,14-07-2023,Present
561,561,15-07-2023,Present
562,562,16-07-2023,Present
563,563,17-07-2023,Absent
564,564,18-07-2023,Leave
565,565,19-07-2023,Leave
566,566,20-07-2023,Present
567,567,21-07-2023,Absent
568,568,22-07-2023,Leave
569,569,23-07-2023,Present
570,570,24-07-2023,Present
571,571,25-07-2023,Leave
572,572,26-07-2023,Present
573,573,27-07-2023,Leave
574,574,28-07-2023,Present
575,575,29-07-2023,Present
576,576,30-07-2023,Present
577,577,31-07-2023,Absent
578,578,01-08-2023,Present
579,579,02-08-2023,Present
580,580,03-08-2023,Present
581,581,04-08-2023,Leave
582,582,05-08-2023,Absent
583,583,06-08-2023,Present
584,584,07-08-2023,Present
585,585,08-08-2023,Present
586,586,09-08-2023,Present
587,587,10-08-2023,Absent
588,588,11-08-2023,Present
589,589,12-08-2023,Present
590,590,13-08-2023,Present
591,591,14-08-2023,Present
592,592,15-08-2023,Present
593,593,16-08-2023,Leave
594,594,17-08-2023,Leave
595,595,18-08-2023,Present
596,596,19-08-2023,Present
597,597,20-08-2023,Present
598,598,21-08-2023,Present
599,599,22-08-2023,Leave
600,600,23-08-2023,Present
601,601,24-08-2023,Absent
602,602,25-08-2023,Leave
603,603,26-08-2023,Leave
604,604,27-08-2023,Leave
605,605,28-08-2023,Present
606,606,29-08-2023,Present
607,607,30-08-2023,Present
608,608,31-08-2023,Absent
609,609,01-09-2023,Present
610,610,02-09-2023,Absent
611,611,03-09-2023,Present
612,612,04-09-2023,Present
613,613,05-09-2023,Present
614,614,06-09-2023,Present
615,615,07-09-2023,Present
616,616,08-09-2023,Present
617,617,09-09-2023,Absent
618,618,10-09-2023,Present
619,619,11-09-2023,Absent
620,620,12-09-2023,Present
621,621,13-09-2023,Absent
622,622,14-09-2023,Present
623,623,15-09-2023,Present
624,624,16-09-2023,Absent
625,625,17-09-2023,Present
626,626,18-09-2023,Present
627,627,19-09-2023,Present
628,628,20-09-2023,Absent
629,629,21-09-2023,Absent
630,630,22-09-2023,Present
631,631,23-09-2023,Present
632,632,24-09-2023,Leave
633,633,25-09-2023,Present
634,634,26-09-2023,Absent
635,635,27-09-2023,Present
636,636,28-09-2023,Leave
637,637,29-09-2023,Present
638,638,30-09-2023,Present
639,639,01-10-2023,Present
640,640,02-10-2023,Present
641,641,03-10-2023,Present
642,642,04-10-2023,Present
643,643,05-10-2023,Present
644,644,06-10-2023,Leave
645,645,07-10-2023,Absent
646,646,08-10-2023,Absent
647,647,09-10-2023,Present
648,648,10-10-2023,Absent
649,649,11-10-2023,Present
650,650,12-10-2023,Present
651,651,13-10-2023,Present
652,652,14-10-2023,Leave
653,653,15-10-2023,Present
654,654,16-10-2023,Present
655,655,17-10-2023,Present
656,656,18-10-2023,Present
657,657,19-10-2023,Present
658,658,20-10-2023,Present
659,659,21-10-2023,Present
660,660,22-10-2023,Present
661,661,23-10-2023,Present
662,662,24-10-2023,Present
663,663,25-10-2023,Present
664,664,26-10-2023,Present
665,665,27-10-2023,Leave
666,666,28-10-2023,Present
667,667,29-10-2023,Present
668,668,30-10-2023,Present
669,669,31-10-2023,Present
670,670,01-11-2023,Present
671,671,02-11-2023,Present
672,672,03-11-2023,Present
673,673,04-11-2023,Present
674,674,05-11-2023,Present
675,675,06-11-2023,Present
676,676,07-11-2023,Present
677,677,08-11-2023,Present
678,678,09-11-2023,Present
679,679,10-11-2023,Present
680,680,11-11-2023,Leave
681,681,12-11-2023,Present
682,682,13-11-2023,Present
683,683,14-11-2023,Present
684,684,15-11-2023,Present
685,685,16-11-2023,Present
686,686,17-11-2023,Present
687,687,18-11-2023,Present
688,688,19-11-2023,Present
689,689,20-11-2023,Present
690,690,21-11-2023,Present
691,691,22-11-2023,Leave
692,692,23-11-2023,Present
693,693,24-11-2023,Present
694,694,25-11-2023,Present
695,695,26-11-2023,Present
696,696,27-11-2023,Absent
697,697,28-11-2023,Leave
698,698,29-11-2023,Present
699,699,30-11-2023,Present
700,700,01-12-2023,Leave
701,701,02-12-2023,Present
702,702,03-12-2023,Present
703,703,04-12-2023,Present
704,704,05-12-2023,Present
705,705,06-12-2023,Absent
706,706,07-12-2023,Present
707,707,08-12-2023,Present
708,708,09-12-2023,Absent
709,709,10-12-2023,Present
710,710,11-12-2023,Absent
711,711,12-12-2023,Leave
712,712,13-12-2023,Present
713,713,14-12-2023,Leave
714,714,15-12-2023,Leave
715,715,16-12-2023,Absent
716,716,17-12-2023,Present
717,717,18-12-2023,Leave
718,718,19-12-2023,Present
719,719,20-12-2023,Present
720,720,21-12-2023,Present
721,721,22-12-2023,Leave
722,722,23-12-2023,Absent
723,723,24-12-2023,Leave
724,724,25-12-2023,Present
725,725,26-12-2023,Present
726,726,27-12-2023,Present
727,727,28-12-2023,Leave
728,728,29-12-2023,Present
729,729,30-12-2023,Leave
730,730,31-12-2023,Present
731,731,01-01-2023,Present
732,732,02-01-2023,Present
733,733,03-01-2023,Absent
734,734,04-01-2023,Present
735,735,05-01-2023,Present
736,736,06-01-2023,Present
737,737,07-01-2023,Present
738,738,08-01-2023,Present
739,739,09-01-2023,Present
740,740,10-01-2023,Present
741,741,11-01-2023,Leave
742,742,12-01-2023,Absent
743,743,13-01-2023,Absent
744,744,14-01-2023,Present
745,745,15-01-2023,Present
746,746,16-01-2023,Absent
747,747,17-01-2023,Present
748,748,18-01-2023,Present
749,749,19-01-2023,Absent
750,750,20-01-2023,Present
751,751,21-01-2023,Absent
752,752,22-01-2023,Present
753,753,23-01-2023,Present
754,754,24-01-2023,Absent
755,755,25-01-2023,Present
756,756,26-01-2023,Present
757,757,27-01-2023,Present
758,758,28-01-2023,Present
759,759,29-01-2023,Present
760,760,30-01-2023,Absent
761,761,31-01-2023,Present
762,762,01-02-2023,Leave
763,763,02-02-2023,Leave
764,764,03-02-2023,Present
765,765,04-02-2023,Leave
766,766,05-02-2023,Present
767,767,06-02-2023,Present
768,768,07-02-2023,Present
769,769,08-02-2023,Present
770,770,09-02-2023,Present
771,771,10-02-2023,Absent
772,772,11-02-2023,Present
773,773,12-02-2023,Present
774,774,13-02-2023,Absent
775,775,14-02-2023,Present
776,776,15-02-2023,Present
777,777,16-02-2023,Present
778,778,17-02-2023,Absent
779,779,18-02-2023,Leave
780,780,19-02-2023,Present
781,781,20-02-2023,Present
782,782,21-02-2023,Present
783,783,22-02-2023,Present
784,784,23-02-2023,Present
785,785,24-02-2023,Present
786,786,25-02-2023,Present
787,787,26-02-2023,Present
788,788,27-02-2023,Present
789,789,28-02-2023,Absent
790,790,01-03-2023,Present
791,791,02-03-2023,Absent
792,792,03-03-2023,Present
793,793,04-03-2023,Present
794,794,05-03-2023,Present
795,795,06-03-2023,Leave
796,796,07-03-2023,Leave
797,797,08-03-2023,Present
798,798,09-03-2023,Present
799,799,10-03-2023,Present
800,800,11-03-2023,Absent
801,801,12-03-2023,Leave
802,802,13-03-2023,Absent
803,803,14-03-2023,Absent
804,804,15-03-2023,Present
805,805,16-03-2023,Present
806,806,17-03-2023,Present
807,807,18-03-2023,Leave
808,808,19-03-2023,Present
809,809,20-03-2023,Leave
810,810,21-03-2023,Absent
811,811,22-03-2023,Absent
812,812,23-03-2023,Absent
813,813,24-03-2023,Present
814,814,25-03-2023,Leave
815,815,26-03-2023,Present
816,816,27-03-2023,Absent
817,817,28-03-2023,Absent
818,818,29-03-2023,Absent
819,819,30-03-2023,Absent
820,820,31-03-2023,Leave
821,821,01-04-2023,Present
822,822,02-04-2023,Present
823,823,03-04-2023,Present
824,824,04-04-2023,Present
825,825,05-04-2023,Leave
826,826,06-04-2023,Present
827,827,07-04-2023,Present
828,828,08-04-2023,Present
829,829,09-04-2023,Present
830,830,10-04-2023,Leave
831,831,11-04-2023,Present
832,832,12-04-2023,Leave
833,833,13-04-2023,Present
834,834,14-04-2023,Present
835,835,15-04-2023,Present
836,836,16-04-2023,Present
837,837,17-04-2023,Present
838,838,18-04-2023,Present
839,839,19-04-2023,Present
840,840,20-04-2023,Present
841,841,21-04-2023,Present
842,842,22-04-2023,Absent
843,843,23-04-2023,Leave
844,844,24-04-2023,Absent
845,845,25-04-2023,Present
846,846,26-04-2023,Present
847,847,27-04-2023,Present
848,848,28-04-2023,Present
849,849,29-04-2023,Present
850,850,30-04-2023,Present
851,851,01-05-2023,Present
852,852,02-05-2023,Present
853,853,03-05-2023,Leave
854,854,04-05-2023,Present
855,855,05-05-2023,Present
856,856,06-05-2023,Absent
857,857,07-05-2023,Absent
858,858,08-05-2023,Present
859,859,09-05-2023,Present
860,860,10-05-2023,Present
861,861,11-05-2023,Present
862,862,12-05-2023,Present
863,863,13-05-2023,Present
864,864,14-05-2023,Present
865,865,15-05-2023,Present
866,866,16-05-2023,Absent
867,867,17-05-2023,Absent
868,868,18-05-2023,Present
869,869,19-05-2023,Present
870,870,20-05-2023,Leave
871,871,21-05-2023,Present
872,872,22-05-2023,Present
873,873,23-05-2023,Present
874,874,24-05-2023,Leave
875,875,25-05-2023,Present
876,876,26-05-2023,Absent
877,877,27-05-2023,Present
878,878,28-05-2023,Present
879,879,29-05-2023,Present
880,880,30-05-2023,Absent
881,881,31-05-2023,Present
882,882,01-06-2023,Present
883,883,02-06-2023,Present
884,884,03-06-2023,Present
885,885,04-06-2023,Present
886,886,05-06-2023,Leave
887,887,06-06-2023,Present
888,888,07-06-2023,Present
889,889,08-06-2023,Present
890,890,09-06-2023,Leave
891,891,10-06-2023,Present
892,892,11-06-2023,Present
893,893,12-06-2023,Absent
894,894,13-06-2023,Present
895,895,14-06-2023,Present
896,896,15-06-2023,Leave
897,897,16-06-2023,Present
898,898,17-06-2023,Leave
899,899,18-06-2023,Present
900,900,19-06-2023,Present
901,901,20-06-2023,Leave
902,902,21-06-2023,Present
903,903,22-06-2023,Present
904,904,23-06-2023,Absent
905,905,24-06-2023,Present
906,906,25-06-2023,Absent
907,907,26-06-2023,Present
908,908,27-06-2023,Present
909,909,28-06-2023,Absent
910,910,29-06-2023,Leave
911,911,30-06-2023,Leave
912,912,01-07-2023,Present
913,913,02-07-2023,Present
914,914,03-07-2023,Present
915,915,04-07-2023,Absent
916,916,05-07-2023,Present
917,917,06-07-2023,Present
918,918,07-07-2023,Leave
919,919,08-07-2023,Present
920,920,09-07-2023,Present
921,921,10-07-2023,Leave
922,922,11-07-2023,Leave
923,923,12-07-2023,Absent
924,924,13-07-2023,Absent
925,925,14-07-2023,Present
926,926,15-07-2023,Present
927,927,16-07-2023,Absent
928,928,17-07-2023,Present
929,929,18-07-2023,Present
930,930,19-07-2023,Present
931,931,20-07-2023,Present
932,932,21-07-2023,Present
933,933,22-07-2023,Present
934,934,23-07-2023,Absent
935,935,24-07-2023,Leave
936,936,25-07-2023,Present
937,937,26-07-2023,Present
938,938,27-07-2023,Leave
939,939,28-07-2023,Present
940,940,29-07-2023,Present
941,941,30-07-2023,Present
942,942,31-07-2023,Present
943,943,01-08-2023,Present
944,944,02-08-2023,Absent
945,945,03-08-2023,Leave
946,946,04-08-2023,Absent
947,947,05-08-2023,Present
948,948,06-08-2023,Present
949,949,07-08-2023,Present
950,950,08-08-2023,Present
951,951,09-08-2023,Present
952,952,10-08-2023,Present
953,953,11-08-2023,Leave
954,954,12-08-2023,Present
955,955,13-08-2023,Present
956,956,14-08-2023,Present
957,957,15-08-2023,Present
958,958,16-08-2023,Present
959,959,17-08-2023,Present
960,960,18-08-2023,Present
961,961,19-08-2023,Present
962,962,20-08-2023,Present
963,963,21-08-2023,Present
964,964,22-08-2023,Leave
965,965,23-08-2023,Absent
966,966,24-08-2023,Present
967,967,25-08-2023,Present
968,968,26-08-2023,Present
969,969,27-08-2023,Leave
970,970,28-08-2023,Present
971,971,29-08-2023,Present
972,972,30-08-2023,Present
973,973,31-08-2023,Absent
974,974,01-09-2023,Leave
975,975,02-09-2023,Leave
976,976,03-09-2023,Present
