review_id,employee_id,review_date,reviewer,score,comments
108,108,01-01-2024,Manager,4,Exceeds Expectations
109,109,01-01-2024,Manager,5,Excellent performance
110,110,01-01-2024,Manager,1,Very bad performance
111,111,01-01-2024,Manager,2,Bad Performance
112,112,01-01-2024,Manager,3,Satisfactory performance
113,113,01-01-2024,Manager,4,Good performance
114,114,01-01-2024,Manager,5,Outstanding performance
115,115,01-01-2024,Manager,1,Unsatisfactory performance
116,116,01-01-2024,Manager,2,Needs Improvement
117,117,01-01-2024,Manager,4,Exceeds Expectations
118,118,01-01-2024,Manager,1,Very bad performance
119,119,01-01-2024,Manager,3,Satisfactory performance
120,120,01-01-2024,Manager,5,Outstanding performance
121,121,01-01-2024,Manager,2,Needs Improvement
122,122,01-01-2024,Manager,4,Exceeds Expectations
123,123,01-01-2024,Manager,1,Very bad performance
124,124,01-01-2024,Manager,3,Satisfactory performance
125,125,01-01-2024,Manager,5,Outstanding performance
126,126,01-01-2024,Manager,2,Needs Improvement
127,127,01-01-2024,Manager,4,Exceeds Expectations
128,128,01-01-2024,Manager,1,Very bad performance
129,129,01-01-2024,Manager,3,Satisfactory performance
130,130,01-01-2024,Manager,5,Outstanding performance
131,131,01-01-2024,Manager,2,Needs Improvement
132,132,01-01-2024,Manager,3,Meets Expectations
133,133,01-01-2024,Manager,4,Exceeds Expectations
134,134,01-01-2024,Manager,5,Excellent performance
135,135,01-01-2024,Manager,1,Very bad performance
136,136,01-01-2024,Manager,2,Bad Performance
137,137,01-01-2024,Manager,3,Satisfactory performance
138,138,01-01-2024,Manager,4,Good performance
139,139,01-01-2024,Manager,5,Outstanding performance
140,140,01-01-2024,Manager,1,Unsatisfactory performance
141,141,01-01-2024,Manager,2,Needs Improvement
142,142,01-01-2024,Manager,3,Meets Expectations
143,143,01-01-2024,Manager,5,Excellent performance
144,144,01-01-2024,Manager,2,Bad Performance
145,145,01-01-2024,Manager,4,Good performance
146,146,01-01-2024,Manager,1,Unsatisfactory performance
147,147,01-01-2024,Manager,3,Meets Expectations
148,148,01-01-2024,Manager,5,Excellent performance
149,149,01-01-2024,Manager,2,Bad Performance
150,150,01-01-2024,Manager,4,Good performance
151,151,01-01-2024,Manager,1,Unsatisfactory performance
152,152,01-01-2024,Manager,3,Meets Expectations
153,153,01-01-2024,Manager,5,Excellent performance
154,154,01-01-2024,Manager,2,Bad Performance
155,155,01-01-2024,Manager,4,Good performance
156,156,01-01-2024,Manager,1,Unsatisfactory performance
157,157,01-01-2024,Manager,3,Meets Expectations
158,158,01-01-2024,Manager,4,Exceeds Expectations
159,159,01-01-2024,Manager,5,Excellent performance
160,160,01-01-2024,Manager,1,Very bad performance
161,161,01-01-2024,Manager,2,Bad Performance
162,162,01-01-2024,Manager,3,Satisfactory performance
163,163,01-01-2024,Manager,4,Good performance
164,164,01-01-2024,Manager,5,Outstanding performance
165,165,01-01-2024,Manager,1,Unsatisfactory performance
166,166,01-01-2024,Manager,2,Needs Improvement
167,167,01-01-2024,Manager,3,Meets Expectations
168,168,01-01-2024,Manager,4,Exceeds Expectations
169,169,01-01-2024,Manager,1,Very bad performance
170,170,01-01-2024,Manager,3,Satisfactory performance
171,171,01-01-2024,Manager,5,Outstanding performance
172,172,01-01-2024,Manager,2,Needs Improvement
173,173,01-01-2024,Manager,4,Exceeds Expectations
174,174,01-01-2024,Manager,1,Very bad performance
175,175,01-01-2024,Manager,3,Satisfactory performance
176,176,01-01-2024,Manager,5,Outstanding performance
177,177,01-01-2024,Manager,2,Needs Improvement
178,178,01-01-2024,Manager,4,Exceeds Expectations
179,179,01-01-2024,Manager,1,Very bad performance
180,180,01-01-2024,Manager,3,Satisfactory performance
181,181,01-01-2024,Manager,5,Outstanding performance
182,182,01-01-2024,Manager,2,Needs Improvement
183,183,01-01-2024,Manager,4,Exceeds Expectations
184,184,01-01-2024,Manager,5,Excellent performance
185,185,01-01-2024,Manager,1,Very bad performance
186,186,01-01-2024,Manager,2,Bad Performance
187,187,01-01-2024,Manager,3,Satisfactory performance
188,188,01-01-2024,Manager,4,Good performance
189,189,01-01-2024,Manager,5,Outstanding performance
190,190,01-01-2024,Manager,1,Unsatisfactory performance
191,191,01-01-2024,Manager,2,Needs Improvement
192,192,01-01-2024,Manager,3,Meets Expectations
193,193,01-01-2024,Manager,4,Exceeds Expectations
194,194,01-01-2024,Manager,5,Excellent performance
195,195,01-01-2024,Manager,2,Bad Performance
196,196,01-01-2024,Manager,4,Good performance
197,197,01-01-2024,Manager,1,Unsatisfactory performance
198,198,01-01-2024,Manager,3,Meets Expectations
199,199,01-01-2024,Manager,5,Excellent performance
200,200,01-01-2024,Manager,2,Bad Performance
201,201,01-01-2024,Manager,4,Good performance
202,202,01-01-2024,Manager,1,Unsatisfactory performance
203,203,01-01-2024,Manager,3,Meets Expectations
204,204,01-01-2024,Manager,5,Excellent performance
205,205,01-01-2024,Manager,2,Bad Performance
206,206,01-01-2024,Manager,4,Good performance
207,207,01-01-2024,Manager,1,Unsatisfactory performance
208,208,01-01-2024,Manager,3,Meets Expectations
209,209,01-01-2024,Manager,5,Excellent performance
210,210,01-01-2024,Manager,1,Very bad performance
211,211,01-01-2024,Manager,2,Bad Performance
212,212,01-01-2024,Manager,3,Satisfactory performance
213,213,01-01-2024,Manager,4,Good performance
214,214,01-01-2024,Manager,5,Outstanding performance
215,215,01-01-2024,Manager,1,Unsatisfactory performance
216,216,01-01-2024,Manager,2,Needs Improvement
217,217,01-01-2024,Manager,3,Meets Expectations
218,218,01-01-2024,Manager,4,Exceeds Expectations
219,219,01-01-2024,Manager,5,Excellent performance
220,220,01-01-2024,Manager,1,Very bad performance
221,221,01-01-2024,Manager,3,Satisfactory performance
222,222,01-01-2024,Manager,5,Outstanding performance
223,223,01-01-2024,Manager,2,Needs Improvement
224,224,01-01-2024,Manager,4,Exceeds Expectations
225,225,01-01-2024,Manager,1,Very bad performance
226,226,01-01-2024,Manager,3,Satisfactory performance
227,227,01-01-2024,Manager,5,Outstanding performance
228,228,01-01-2024,Manager,2,Needs Improvement
229,229,01-01-2024,Manager,4,Exceeds Expectations
230,230,01-01-2024,Manager,1,Very bad performance
231,231,01-01-2024,Manager,3,Satisfactory performance
232,232,01-01-2024,Manager,5,Outstanding performance
233,233,01-01-2024,Manager,2,Needs Improvement
234,234,01-01-2024,Manager,4,Exceeds Expectations
235,235,01-01-2024,Manager,1,Very bad performance
236,236,01-01-2024,Manager,2,Bad Performance
237,237,01-01-2024,Manager,3,Satisfactory performance
238,238,01-01-2024,Manager,4,Good performance
239,239,01-01-2024,Manager,5,Outstanding performance
240,240,01-01-2024,Manager,1,Unsatisfactory performance
241,241,01-01-2024,Manager,2,Needs Improvement
242,242,01-01-2024,Manager,3,Meets Expectations
243,243,01-01-2024,Manager,4,Exceeds Expectations
244,244,01-01-2024,Manager,5,Excellent performance
245,245,01-01-2024,Manager,1,Very bad performance
246,246,01-01-2024,Manager,2,Bad Performance
247,247,01-01-2024,Manager,4,Good performance
248,248,01-01-2024,Manager,1,Unsatisfactory performance
249,249,01-01-2024,Manager,3,Meets Expectations
250,250,01-01-2024,Manager,5,Excellent performance
251,251,01-01-2024,Manager,2,Bad Performance
252,252,01-01-2024,Manager,4,Good performance
253,253,01-01-2024,Manager,1,Unsatisfactory performance
254,254,01-01-2024,Manager,3,Meets Expectations
255,255,01-01-2024,Manager,5,Excellent performance
256,256,01-01-2024,Manager,2,Bad Performance
257,257,01-01-2024,Manager,4,Good performance
258,258,01-01-2024,Manager,1,Unsatisfactory performance
259,259,01-01-2024,Manager,3,Meets Expectations
260,260,01-01-2024,Manager,5,Excellent performance
261,261,01-01-2024,Manager,2,Bad Performance
262,262,01-01-2024,Manager,3,Satisfactory performance
263,263,01-01-2024,Manager,4,Good performance
264,264,01-01-2024,Manager,5,Outstanding performance
265,265,01-01-2024,Manager,1,Unsatisfactory performance
266,266,01-01-2024,Manager,2,Needs Improvement
267,267,01-01-2024,Manager,3,Meets Expectations
268,268,01-01-2024,Manager,4,Exceeds Expectations
269,269,01-01-2024,Manager,5,Excellent performance
270,270,01-01-2024,Manager,1,Very bad performance
271,271,01-01-2024,Manager,2,Bad Performance
272,272,01-01-2024,Manager,3,Satisfactory performance
273,273,01-01-2024,Manager,5,Outstanding performance
274,274,01-01-2024,Manager,2,Needs Improvement
275,275,01-01-2024,Manager,4,Exceeds Expectations
276,276,01-01-2024,Manager,1,Very bad performance
277,277,01-01-2024,Manager,3,Satisfactory performance
278,278,01-01-2024,Manager,5,Outstanding performance
279,279,01-01-2024,Manager,2,Needs Improvement
280,280,01-01-2024,Manager,4,Exceeds Expectations
281,281,01-01-2024,Manager,1,Very bad performance
282,282,01-01-2024,Manager,3,Satisfactory performance
283,283,01-01-2024,Manager,5,Outstanding performance
284,284,01-01-2024,Manager,2,Needs Improvement
285,285,01-01-2024,Manager,4,Exceeds Expectations
286,286,01-01-2024,Manager,1,Very bad performance
287,287,01-01-2024,Manager,3,Satisfactory performance
288,288,01-01-2024,Manager,4,Good performance
289,289,01-01-2024,Manager,5,Outstanding performance
290,290,01-01-2024,Manager,1,Unsatisfactory performance
291,291,01-01-2024,Manager,2,Needs Improvement
292,292,01-01-2024,Manager,3,Meets Expectations
293,293,01-01-2024,Manager,4,Exceeds Expectations
294,294,01-01-2024,Manager,5,Excellent performance
295,295,01-01-2024,Manager,1,Very bad performance
296,296,01-01-2024,Manager,2,Bad Performance
297,297,01-01-2024,Manager,3,Satisfactory performance
298,298,01-01-2024,Manager,4,Good performance
299,299,01-01-2024,Manager,1,Unsatisfactory performance
300,300,01-01-2024,Manager,3,Meets Expectations
301,301,01-01-2024,Manager,5,Excellent performance
302,302,01-01-2024,Manager,2,Bad Performance
303,303,01-01-2024,Manager,4,Good performance
304,304,01-01-2024,Manager,1,Unsatisfactory performance
305,305,01-01-2024,Manager,3,Meets Expectations
306,306,01-01-2024,Manager,5,Excellent performance
307,307,01-01-2024,Manager,2,Bad Performance
308,308,01-01-2024,Manager,4,Good performance
309,309,01-01-2024,Manager,1,Unsatisfactory performance
310,310,01-01-2024,Manager,3,Meets Expectations
311,311,01-01-2024,Manager,5,Excellent performance
312,312,01-01-2024,Manager,2,Bad Performance
313,313,01-01-2024,Manager,4,Good performance
314,314,01-01-2024,Manager,5,Outstanding performance
315,315,01-01-2024,Manager,1,Unsatisfactory performance
316,316,01-01-2024,Manager,2,Needs Improvement
317,317,01-01-2024,Manager,3,Meets Expectations
318,318,01-01-2024,Manager,4,Exceeds Expectations
319,319,01-01-2024,Manager,5,Excellent performance
320,320,01-01-2024,Manager,1,Very bad performance
321,321,01-01-2024,Manager,2,Bad Performance
322,322,01-01-2024,Manager,3,Satisfactory performance
323,323,01-01-2024,Manager,4,Good performance
324,324,01-01-2024,Manager,5,Outstanding performance
325,325,01-01-2024,Manager,2,Needs Improvement
326,326,01-01-2024,Manager,4,Exceeds Expectations
327,327,01-01-2024,Manager,1,Very bad performance
328,328,01-01-2024,Manager,3,Satisfactory performance
329,329,01-01-2024,Manager,5,Outstanding performance
330,330,01-01-2024,Manager,2,Needs Improvement
331,331,01-01-2024,Manager,4,Exceeds Expectations
332,332,01-01-2024,Manager,1,Very bad performance
333,333,01-01-2024,Manager,3,Satisfactory performance
334,334,01-01-2024,Manager,5,Outstanding performance
335,335,01-01-2024,Manager,2,Needs Improvement
336,336,01-01-2024,Manager,4,Exceeds Expectations
337,337,01-01-2024,Manager,1,Very bad performance
338,338,01-01-2024,Manager,3,Satisfactory performance
339,339,01-01-2024,Manager,5,Outstanding performance
340,340,01-01-2024,Manager,1,Unsatisfactory performance
341,341,01-01-2024,Manager,2,Needs Improvement
342,342,01-01-2024,Manager,3,Meets Expectations
343,343,01-01-2024,Manager,4,Exceeds Expectations
344,344,01-01-2024,Manager,5,Excellent performance
345,345,01-01-2024,Manager,1,Very bad performance
346,346,01-01-2024,Manager,2,Bad Performance
347,347,01-01-2024,Manager,3,Satisfactory performance
348,348,01-01-2024,Manager,4,Good performance
349,349,01-01-2024,Manager,5,Outstanding performance
350,350,01-01-2024,Manager,1,Unsatisfactory performance
351,351,01-01-2024,Manager,3,Meets Expectations
352,352,01-01-2024,Manager,5,Excellent performance
353,353,01-01-2024,Manager,2,Bad Performance
354,354,01-01-2024,Manager,4,Good performance
355,355,01-01-2024,Manager,1,Unsatisfactory performance
356,356,01-01-2024,Manager,3,Meets Expectations
357,357,01-01-2024,Manager,5,Excellent performance
358,358,01-01-2024,Manager,2,Bad Performance
359,359,01-01-2024,Manager,4,Good performance
360,360,01-01-2024,Manager,1,Unsatisfactory performance
361,361,01-01-2024,Manager,3,Meets Expectations
362,362,01-01-2024,Manager,5,Excellent performance
363,363,01-01-2024,Manager,2,Bad Performance
364,364,01-01-2024,Manager,4,Good performance
365,365,01-01-2024,Manager,1,Unsatisfactory performance
366,366,01-01-2024,Manager,2,Needs Improvement
367,367,01-01-2024,Manager,3,Meets Expectations
368,368,01-01-2024,Manager,4,Exceeds Expectations
369,369,01-01-2024,Manager,5,Excellent performance
370,370,01-01-2024,Manager,1,Very bad performance
371,371,01-01-2024,Manager,2,Bad Performance
372,372,01-01-2024,Manager,3,Satisfactory performance
373,373,01-01-2024,Manager,4,Good performance
374,374,01-01-2024,Manager,5,Outstanding performance
375,375,01-01-2024,Manager,1,Unsatisfactory performance
376,376,01-01-2024,Manager,2,Needs Improvement
377,377,01-01-2024,Manager,4,Exceeds Expectations
378,378,01-01-2024,Manager,1,Very bad performance
379,379,01-01-2024,Manager,3,Satisfactory performance
380,380,01-01-2024,Manager,5,Outstanding performance
381,381,01-01-2024,Manager,2,Needs Improvement
382,382,01-01-2024,Manager,4,Exceeds Expectations
383,383,01-01-2024,Manager,1,Very bad performance
384,384,01-01-2024,Manager,3,Satisfactory performance
385,385,01-01-2024,Manager,5,Outstanding performance
386,386,01-01-2024,Manager,2,Needs Improvement
387,387,01-01-2024,Manager,4,Exceeds Expectations
388,388,01-01-2024,Manager,1,Very bad performance
389,389,01-01-2024,Manager,3,Satisfactory performance
390,390,01-01-2024,Manager,5,Outstanding performance
391,391,01-01-2024,Manager,2,Needs Improvement
392,392,01-01-2024,Manager,3,Meets Expectations
393,393,01-01-2024,Manager,4,Exceeds Expectations
394,394,01-01-2024,Manager,5,Excellent performance
395,395,01-01-2024,Manager,1,Very bad performance
396,396,01-01-2024,Manager,2,Bad Performance
397,397,01-01-2024,Manager,3,Satisfactory performance
398,398,01-01-2024,Manager,4,Good performance
399,399,01-01-2024,Manager,5,Outstanding performance
400,400,01-01-2024,Manager,1,Unsatisfactory performance
401,401,01-01-2024,Manager,2,Needs Improvement
402,402,01-01-2024,Manager,3,Meets Expectations
403,403,01-01-2024,Manager,5,Excellent performance
404,404,01-01-2024,Manager,2,Bad Performance
405,405,01-01-2024,Manager,4,Good performance
406,406,01-01-2024,Manager,1,Unsatisfactory performance
407,407,01-01-2024,Manager,3,Meets Expectations
408,408,01-01-2024,Manager,5,Excellent performance
409,409,01-01-2024,Manager,2,Bad Performance
410,410,01-01-2024,Manager,4,Good performance
411,411,01-01-2024,Manager,1,Unsatisfactory performance
412,412,01-01-2024,Manager,3,Meets Expectations
413,413,01-01-2024,Manager,5,Excellent performance
414,414,01-01-2024,Manager,2,Bad Performance
415,415,01-01-2024,Manager,4,Good performance
416,416,01-01-2024,Manager,1,Unsatisfactory performance
417,417,01-01-2024,Manager,3,Meets Expectations
418,418,01-01-2024,Manager,4,Exceeds Expectations
419,419,01-01-2024,Manager,5,Excellent performance
420,420,01-01-2024,Manager,1,Very bad performance
421,421,01-01-2024,Manager,2,Bad Performance
422,422,01-01-2024,Manager,3,Satisfactory performance
423,423,01-01-2024,Manager,4,Good performance
424,424,01-01-2024,Manager,5,Outstanding performance
425,425,01-01-2024,Manager,1,Unsatisfactory performance
426,426,01-01-2024,Manager,2,Needs Improvement
427,427,01-01-2024,Manager,3,Meets Expectations
428,428,01-01-2024,Manager,4,Exceeds Expectations
429,429,01-01-2024,Manager,1,Very bad performance
430,430,01-01-2024,Manager,3,Satisfactory performance
431,431,01-01-2024,Manager,5,Outstanding performance
432,432,01-01-2024,Manager,2,Needs Improvement
433,433,01-01-2024,Manager,4,Exceeds Expectations
434,434,01-01-2024,Manager,1,Very bad performance
435,435,01-01-2024,Manager,3,Satisfactory performance
436,436,01-01-2024,Manager,5,Outstanding performance
437,437,01-01-2024,Manager,2,Needs Improvement
438,438,01-01-2024,Manager,4,Exceeds Expectations
439,439,01-01-2024,Manager,1,Very bad performance
440,440,01-01-2024,Manager,3,Satisfactory performance
441,441,01-01-2024,Manager,5,Outstanding performance
442,442,01-01-2024,Manager,2,Needs Improvement
443,443,01-01-2024,Manager,4,Exceeds Expectations
444,444,01-01-2024,Manager,5,Excellent performance
445,445,01-01-2024,Manager,1,Very bad performance
446,446,01-01-2024,Manager,2,Bad Performance
447,447,01-01-2024,Manager,3,Satisfactory performance
448,448,01-01-2024,Manager,4,Good performance
449,449,01-01-2024,Manager,5,Outstanding performance
450,450,01-01-2024,Manager,1,Unsatisfactory performance
451,451,01-01-2024,Manager,2,Needs Improvement
452,452,01-01-2024,Manager,3,Meets Expectations
453,453,01-01-2024,Manager,4,Exceeds Expectations
454,454,01-01-2024,Manager,5,Excellent performance
455,455,01-01-2024,Manager,2,Bad Performance
456,456,01-01-2024,Manager,4,Good performance
457,457,01-01-2024,Manager,1,Unsatisfactory performance
458,458,01-01-2024,Manager,3,Meets Expectations
459,459,01-01-2024,Manager,5,Excellent performance
460,460,01-01-2024,Manager,2,Bad Performance
461,461,01-01-2024,Manager,4,Good performance
462,462,01-01-2024,Manager,1,Unsatisfactory performance
463,463,01-01-2024,Manager,3,Meets Expectations
464,464,01-01-2024,Manager,5,Excellent performance
465,465,01-01-2024,Manager,2,Bad Performance
466,466,01-01-2024,Manager,4,Good performance
467,467,01-01-2024,Manager,1,Unsatisfactory performance
468,468,01-01-2024,Manager,3,Meets Expectations
469,469,01-01-2024,Manager,5,Excellent performance
470,470,01-01-2024,Manager,1,Very bad performance
471,471,01-01-2024,Manager,2,Bad Performance
472,472,01-01-2024,Manager,3,Satisfactory performance
473,473,01-01-2024,Manager,4,Good performance
474,474,01-01-2024,Manager,5,Outstanding performance
475,475,01-01-2024,Manager,1,Unsatisfactory performance
476,476,01-01-2024,Manager,2,Needs Improvement
477,477,01-01-2024,Manager,3,Meets Expectations
478,478,01-01-2024,Manager,4,Exceeds Expectations
479,479,01-01-2024,Manager,5,Excellent performance
480,480,01-01-2024,Manager,1,Very bad performance
481,481,01-01-2024,Manager,3,Satisfactory performance
482,482,01-01-2024,Manager,5,Outstanding performance
483,483,01-01-2024,Manager,2,Needs Improvement
484,484,01-01-2024,Manager,4,Exceeds Expectations
485,485,01-01-2024,Manager,1,Very bad performance
486,486,01-01-2024,Manager,3,Satisfactory performance
487,487,01-01-2024,Manager,5,Outstanding performance
488,488,01-01-2024,Manager,2,Needs Improvement
489,489,01-01-2024,Manager,4,Exceeds Expectations
490,490,01-01-2024,Manager,1,Very bad performance
491,491,01-01-2024,Manager,3,Satisfactory performance
492,492,01-01-2024,Manager,5,Outstanding performance
493,493,01-01-2024,Manager,2,Needs Improvement
494,494,01-01-2024,Manager,4,Exceeds Expectations
495,495,01-01-2024,Manager,1,Very bad performance
496,496,01-01-2024,Manager,2,Bad Performance
497,497,01-01-2024,Manager,3,Satisfactory performance
498,498,01-01-2024,Manager,4,Good performance
499,499,01-01-2024,Manager,5,Outstanding performance
500,500,01-01-2024,Manager,1,Unsatisfactory performance
501,501,01-01-2024,Manager,2,Needs Improvement
502,502,01-01-2024,Manager,3,Meets Expectations
503,503,01-01-2024,Manager,4,Exceeds Expectations
504,504,01-01-2024,Manager,5,Excellent performance
505,505,01-01-2024,Manager,1,Very bad performance
506,506,01-01-2024,Manager,2,Bad Performance
507,507,01-01-2024,Manager,4,Good performance
508,508,01-01-2024,Manager,1,Unsatisfactory performance
509,509,01-01-2024,Manager,3,Meets Expectations
510,510,01-01-2024,Manager,5,Excellent performance
511,511,01-01-2024,Manager,2,Bad Performance
512,512,01-01-2024,Manager,4,Good performance
513,513,01-01-2024,Manager,1,Unsatisfactory performance
514,514,01-01-2024,Manager,3,Meets Expectations
515,515,01-01-2024,Manager,5,Excellent performance
516,516,01-01-2024,Manager,2,Bad Performance
517,517,01-01-2024,Manager,4,Good performance
518,518,01-01-2024,Manager,1,Unsatisfactory performance
519,519,01-01-2024,Manager,3,Meets Expectations
520,520,01-01-2024,Manager,5,Excellent performance
521,521,01-01-2024,Manager,2,Bad Performance
522,522,01-01-2024,Manager,3,Satisfactory performance
523,523,01-01-2024,Manager,4,Good performance
524,524,01-01-2024,Manager,5,Outstanding performance
525,525,01-01-2024,Manager,1,Unsatisfactory performance
526,526,01-01-2024,Manager,2,Needs Improvement
527,527,01-01-2024,Manager,3,Meets Expectations
528,528,01-01-2024,Manager,4,Exceeds Expectations
529,529,01-01-2024,Manager,5,Excellent performance
530,530,01-01-2024,Manager,1,Very bad performance
531,531,01-01-2024,Manager,2,Bad Performance
532,532,01-01-2024,Manager,3,Satisfactory performance
533,533,01-01-2024,Manager,5,Outstanding performance
534,534,01-01-2024,Manager,2,Needs Improvement
535,535,01-01-2024,Manager,4,Exceeds Expectations
536,536,01-01-2024,Manager,1,Very bad performance
537,537,01-01-2024,Manager,3,Satisfactory performance
538,538,01-01-2024,Manager,5,Outstanding performance
539,539,01-01-2024,Manager,2,Needs Improvement
540,540,01-01-2024,Manager,4,Exceeds Expectations
541,541,01-01-2024,Manager,1,Very bad performance
542,542,01-01-2024,Manager,3,Satisfactory performance
543,543,01-01-2024,Manager,5,Outstanding performance
544,544,01-01-2024,Manager,2,Needs Improvement
545,545,01-01-2024,Manager,4,Exceeds Expectations
546,546,01-01-2024,Manager,1,Very bad performance
547,547,01-01-2024,Manager,3,Satisfactory performance
548,548,01-01-2024,Manager,4,Good performance
549,549,01-01-2024,Manager,5,Outstanding performance
550,550,01-01-2024,Manager,1,Unsatisfactory performance
551,551,01-01-2024,Manager,2,Needs Improvement
552,552,01-01-2024,Manager,3,Meets Expectations
553,553,01-01-2024,Manager,4,Exceeds Expectations
554,554,01-01-2024,Manager,5,Excellent performance
555,555,01-01-2024,Manager,1,Very bad performance
556,556,01-01-2024,Manager,2,Bad Performance
557,557,01-01-2024,Manager,3,Satisfactory performance
558,558,01-01-2024,Manager,4,Good performance
